term,coef,scenario,draw
post_g6,0.0018924887532759348,1,19
post_g1,-0.004325466017822521,2,19
post_g2,0.0036025102551041814,2,19
post_g3,0.008186011319694203,2,19
post_g4,0.0339595713669675,2,19
post_g5,-1.8719334298995063e-05,2,19
post_g6,-0.0353213059625868,2,19
post_g1,-0.019025509892763637,1,20
post_g2,0.0166677338839399,1,20
post_g3,-0.0003415875265743969,1,20
post_g4,0.026688136783048363,1,20
post_g5,0.0008094691290269713,1,20
post_g6,0.0013284571373371641,1,20
post_g1,-0.02094599335279069,2,20
post_g2,0.02543929224751141,2,20
post_g3,0.005778248141250375,2,20
post_g4,0.026934359188566834,2,20
post_g5,0.0007876532481760218,2,20
post_g6,-0.0329864159238239,2,20
post_g1,0.008719836188482183,1,21
post_g2,0.010056225829060392,1,21
post_g3,-0.0003135767243033925,1,21
post_g4,0.024714358854780457,1,21
post_g5,0.004963014223129892,1,21
post_g6,-0.020384728510089663,1,21
post_g1,0.007064237196713349,2,21
post_g2,0.017751381123528944,2,21
post_g3,0.006429504463276427,2,21
post_g4,0.02390540540525999,2,21
post_g5,0.0032509733486097234,2,21
post_g6,-0.05304709125639921,2,21
post_g1,-0.013153167606895222,1,22
post_g2,0.007945670608942782,1,22
post_g3,-0.004555473688076399,1,22
post_g4,0.02314396253330019,1,22
post_g5,-0.0008598816458991905,1,22
post_g6,0.017605217025777577,1,22
post_g1,-0.013772446234010268,2,22
post_g2,0.016189054268573554,2,22
post_g3,0.0036676245496807835,2,22
post_g4,0.022843786465662468,2,22
post_g5,-0.0008086061851652301,2,22
post_g6,-0.02232580572952471,2,22
post_g1,-0.01833084327407311,1,23
post_g2,-0.0029855879671546095,1,23
post_g3,-0.0007342947663749814,1,23
post_g4,0.025366001889136007,1,23
post_g5,0.014636544190952477,1,23
post_g6,0.010786876861340855,1,23
post_g1,-0.019729057498859545,2,23
post_g2,0.0054423918861953085,2,23
post_g3,0.005321721792775826,2,23
post_g4,0.025248292613447753,2,23
post_g5,0.015435830468556896,2,23
